ts,event_strength,neg_boost,lambda,w_t
2019-02-19 12:00:00,0.0,1.0,1.0,0.0
2019-02-19 13:00:00,0.0,1.0,1.0,0.0
2019-02-19 14:00:00,0.0,1.0,1.0,0.0
2019-02-19 15:00:00,0.0,1.0,1.0,0.0
2019-02-19 16:00:00,0.0,1.0,1.0,0.0
2019-02-19 17:00:00,0.0,1.0,1.0,0.0
2019-02-19 18:00:00,0.0,1.0,1.0,0.0
2019-02-19 19:00:00,0.0,1.0,1.0,0.0
2019-02-19 20:00:00,0.0,1.0,1.0,0.0
2019-02-19 21:00:00,0.0,1.0,1.0,0.0
2019-02-19 23:00:00,0.0,1.0,1.0,0.0
2019-02-20 00:00:00,0.0,1.0,1.0,0.0
2019-02-20 01:00:00,0.0,1.0,1.0,0.0
2019-02-20 02:00:00,0.0,1.0,1.0,0.0
2019-02-20 03:00:00,0.0,1.0,1.0,0.0
2019-02-20 04:00:00,0.0,1.0,1.0,0.0
2019-02-20 05:00:00,0.0,1.0,1.0,0.0
2019-02-20 06:00:00,0.0,1.0,1.0,0.0
2019-02-20 07:00:00,0.0,1.0,1.0,0.0
2019-02-20 08:00:00,0.0,1.0,1.0,0.0
2019-02-20 09:00:00,0.0,1.0,1.0,0.0
2019-02-20 10:00:00,0.0,1.0,1.0,0.0
2019-02-20 11:00:00,0.0,1.0,1.0,0.0
2019-02-20 12:00:00,0.0,1.0,1.0,0.0
2019-02-20 13:00:00,0.0,1.0,1.0,0.0
2019-02-20 14:00:00,0.0,1.0,1.0,0.0
2019-02-20 15:00:00,0.0,1.0,1.0,0.0
2019-02-20 16:00:00,0.0,1.0,0.8959816216066041,0.0
2019-02-20 17:00:00,0.0,1.0,0.9145194653252074,0.0
2019-02-20 18:00:00,0.0,1.0,0.9072622684155505,0.0
2019-02-20 19:00:00,0.0,1.0,0.909863586942734,0.0
2019-02-20 20:00:00,0.0,1.0,0.9050687776007055,0.0
2019-02-20 21:00:00,0.0,1.0,0.9048333461776288,0.0
2019-02-20 23:00:00,0.0,1.0,0.9050772778025663,0.0
2019-02-21 00:00:00,0.0,1.0,0.9078795226956503,0.0
2019-02-21 01:00:00,0.0,1.0,0.8980359256671687,0.0
2019-02-21 02:00:00,0.0,1.0,0.8859194188127497,0.0
2019-02-21 03:00:00,0.0,1.0,0.9047993190840858,0.0
2019-02-21 04:00:00,0.0,1.0,0.9061748250513706,0.0
2019-02-21 05:00:00,0.0,1.0,0.9114134831606542,0.0
2019-02-21 06:00:00,0.0,1.0,0.9123595667102932,0.0
2019-02-21 07:00:00,0.0,1.0,0.9137157611350474,0.0
2019-02-21 08:00:00,0.0,1.0,0.9139177810269109,0.0
2019-02-21 09:00:00,0.0,1.0,0.9294517544291355,0.0
2019-02-21 10:00:00,0.0,1.0,0.9286305208868125,0.0
2019-02-21 11:00:00,0.0,1.0,0.9272873405312149,0.0
